"sequences","output"
"SELECT  DISTINCT  ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?productPublisher ?productPublishDate  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDateWHERE{    ?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product bsbm:productPropertyNumeric1 ?propertyNum1 .    ?product bsbm:productPropertyNumeric2 ?propertyNum2 .    ?product bsbm:productPropertyNumeric3 ?propertyNum3 .    ?product bsbm:productPropertyNumeric4 ?propertyNum4 .    ?product bsbm:productPropertyNumeric5 ?propertyNum5 .    ?product bsbm:productPropertyNumeric6 ?propertyNum6 .    ?product bsbm:productPropertyTextual1 ?propertyTex1 .    ?product bsbm:productPropertyTextual2 ?propertyTex2 .    ?product bsbm:productPropertyTextual3 ?propertyTex3 .    ?product bsbm:productPropertyTextual4 ?propertyTex4 .    ?product bsbm:productPropertyTextual5 ?propertyTex5 .    ?product bsbm:productPropertyTextual6 ?propertyTex6 .    ?product dc:publisher ?productPublisher .    ?product exp:publishDate ?productPublishDate .    ?review bsbm:reviewFor ?product .    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .    ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?producerLabel ?producerComment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?publisher ?publishDate ?label ?comment ?homepage ?country ?producerPublisher ?producerPublishDateWHERE{	?producer rdfs:label ?producerLabel .	?producer rdfs:comment ?producerComment .	?producer foaf:homepage ?homepage .	?producer edm:country ?country .	?producer bsbm:publisher ?producerPublisher .	?producer exp:publishDate ?producerPublishDate .	?product bsbm:producer ?producer .	?product rdfs:label ?label .	?product rdfs:comment ?comment .	?product bsbm:productPropertyNumeric1 ?propertyNum1 .	?product bsbm:productPropertyNumeric2 ?propertyNum2 .	?product bsbm:productPropertyNumeric3 ?propertyNum3 .	?product bsbm:productPropertyNumeric4 ?propertyNum4 .	?product bsbm:productPropertyNumeric5 ?propertyNum5 .	?product bsbm:productPropertyNumeric6 ?propertyNum6 .	?product bsbm:productPropertyTextual1 ?propertyTex1 .	?product bsbm:productPropertyTextual2 ?propertyTex2 .	?product bsbm:productPropertyTextual3 ?propertyTex3 .	?product bsbm:productPropertyTextual4 ?propertyTex4 .	?product bsbm:productPropertyTextual5 ?propertyTex5 .	?product bsbm:productPropertyTextual6 ?propertyTex6 .	?product dc:publisher ?publisher .	?product exp:publishDate ?publishDate .	?product rdf:type bsbm:Product .}",1
"SELECT  DISTINCT  ?vendor ?price ?validFrom ?validTo ?deliveryDays ?offerWebpage ?productPublisher ?productPublishDate ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?publisher ?publishDateWHERE{	?product rdfs:label ?label .	?product rdfs:comment ?comment .	?product bsbm:productPropertyNumeric1 ?propertyNum1 .	?product bsbm:productPropertyNumeric2 ?propertyNum2 .	?product bsbm:productPropertyNumeric3 ?propertyNum3 .	?product bsbm:productPropertyNumeric4 ?propertyNum4 .	?product bsbm:productPropertyNumeric5 ?propertyNum5 .	?product bsbm:productPropertyNumeric6 ?propertyNum6 .	?product bsbm:productPropertyTextual1 ?propertyTex1 .	?product bsbm:productPropertyTextual2 ?propertyTex2 .	?product bsbm:productPropertyTextual3 ?propertyTex3 .	?product bsbm:productPropertyTextual4 ?propertyTex4 .	?product bsbm:productPropertyTextual5 ?propertyTex5 .	?product bsbm:productPropertyTextual6 ?propertyTex6 .	?product dc:publisher ?productPublisher .	?product exp:publishDate ?productPublishDate .	?product rdf:type bsbm:Product .	?offer bsbm:product ?product .	?offer bsbm:vendor ?vendor .	?offer bsbm:price ?price .	?offer gr:validFrom ?validFrom .	?offer bsbm:validTo ?validTo .	?offer bsbm:deliveryDays ?deliveryDays .	?offer npg:webpage ?offerWebpage .	?offer dc:publisher ?publisher .	?offer exp:publishDate ?publishDate .	?offer rdf:type schema:Offer .}",0
"SELECT  DISTINCT  ?vendor ?price ?validFrom ?validTo ?deliveryDays ?offerWebpage ?publisher ?publishDate ?label ?comment ?homepage ?country ?producerPublisher ?producerPublishDate WHERE{        ?producer rdfs:label ?label .        ?producer rdfs:comment ?comment .        ?producer foaf:homepage ?homepage .        ?producer edm:country ?country .        ?producer bsbm:publisher ?producerPublisher .        ?producer exp:publishDate ?producerPublishDate .	?offer bsbm:producer ?producer .	?offer bsbm:vendor ?vendor .	?offer bsbm:price ?price .	?offer gr:validFrom ?validFrom .	?offer bsbm:validTo ?validTo .	?offer bsbm:deliveryDays ?deliveryDays .	?offer npg:webpage ?offerWebpage .	?offer dc:publisher ?publisher .	?offer exp:publishDate ?publishDate .        ?offer rdf:type schema:Offer .}",0
"SELECT  DISTINCT  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?reviewerName ?mbox_sha1sum ?reviewerCountry ?reviewerPublisher ?reviewerPublishDateWHERE{  ?review rev:reviewer ?reviewer .  ?reviewer edm:country ?reviewerCountry  .  ?reviewer dc:publisher ?reviewerPublisher .  ?reviewer foaf:mbox_sha1sum ?mbox_sha1sum .  ?reviewer exp:publishDate ?reviewerPublishDate .  ?reviewer foaf:name ?reviewerName .  ?reviewer a foaf:Person .  ?review bsbm:reviewDate ?reviewDate .  ?review dc:title ?title .  ?review rev:text ?text .  ?review dcterms:language ?language .  ?review bsbm:rating1 ?rating1 .  ?review bsbm:rating2 ?rating2 .  ?review bsbm:rating3 ?rating3 .  ?review bsbm:rating4 ?rating4 .  ?review dc:publisher ?publisher .  ?review exp:publishDate ?publishDate .  ?review rdf:type schema:Review .}",0
"SELECT  DISTINCT   ?label ?comment ?homepage ?country ?producerPublisher ?producerPublishDate ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDateWHERE{   ?producer rdfs:label ?label .   ?producer rdfs:comment ?comment .   ?producer foaf:homepage ?homepage .   ?producer edm:country ?country .   ?producer bsbm:publisher ?producerPublisher .   ?producer exp:publishDate ?producerPublishDate .   ?producer rdf:type bsbm:Producer .   ?review  bsbm:producer ?producer .   ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .   ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?label ?productPublisher ?productPublishDate ?title ?languageWHERE{    ?product rdfs:label ?label .    ?product dc:publisher ?productPublisher .    ?product exp:publishDate ?productPublishDate .    ?review bsbm:reviewFor ?product .    ?review dc:title ?title .    ?review dcterms:language ?language .    ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?producerLabel ?country ?publishDateWHERE{	?producer rdfs:label ?producerLabel .	?producer edm:country ?country .	?product bsbm:producer ?producer .	?product exp:publishDate ?publishDate .	?product rdf:type bsbm:Product .}",1
"SELECT  DISTINCT  ?price ?validFrom ?validTo ?label ?productPublisherWHERE{	?product rdfs:label ?label .	?product dc:publisher ?productPublisher .	?offer bsbm:product ?product .	?offer bsbm:price ?price .	?offer gr:validFrom ?validFrom .	?offer bsbm:validTo ?validTo .	?offer rdf:type schema:Offer .}",1
"SELECT  DISTINCT  ?vendor ?label ?countryWHERE{        ?producer rdfs:label ?label .        ?producer edm:country ?country .	?offer bsbm:producer ?producer .	?offer bsbm:vendor ?vendor .        ?offer rdf:type schema:Offer .}",1
"SELECT  DISTINCT  ?title ?language ?reviewerCountryWHERE{  ?review rev:reviewer ?reviewer .  ?reviewer edm:country ?reviewerCountry  .  ?reviewer a foaf:Person .  ?review dc:title ?title .  ?review dcterms:language ?language .  ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT   ?country ?language ?producerPublisher ?producerPublishDate ?rating1 ?rating2WHERE{   ?producer edm:country ?country .   ?producer bsbm:publisher ?producerPublisher .   ?producer exp:publishDate ?producerPublishDate .   ?review  bsbm:producer ?producer .   ?review dcterms:language ?language .   ?review bsbm:rating1 ?rating1 .   ?review bsbm:rating2 ?rating2 .   ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?productPublisher ?productPublishDate  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?producerLabel ?producerComment  ?producerPublisher ?producerPublishDate ?homepage ?countryWHERE{    ?producer rdfs:label ?producerLabel .	?producer rdfs:comment ?producerComment .	?producer foaf:homepage ?homepage .	?producer edm:country ?country .	?producer bsbm:publisher ?producerPublisher .	?producer exp:publishDate ?producerPublishDate .	?product bsbm:producer ?producer .	?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product bsbm:productPropertyNumeric1 ?propertyNum1 .    ?product bsbm:productPropertyNumeric2 ?propertyNum2 .    ?product bsbm:productPropertyNumeric3 ?propertyNum3 .    ?product bsbm:productPropertyNumeric4 ?propertyNum4 .    ?product bsbm:productPropertyNumeric5 ?propertyNum5 .    ?product bsbm:productPropertyNumeric6 ?propertyNum6 .    ?product bsbm:productPropertyTextual1 ?propertyTex1 .    ?product bsbm:productPropertyTextual2 ?propertyTex2 .    ?product bsbm:productPropertyTextual3 ?propertyTex3 .    ?product bsbm:productPropertyTextual4 ?propertyTex4 .    ?product bsbm:productPropertyTextual5 ?propertyTex5 .    ?product bsbm:productPropertyTextual6 ?propertyTex6 .    ?product dc:publisher ?productPublisher .    ?product exp:publishDate ?productPublishDate .    ?review bsbm:reviewFor ?product .    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .  	?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?productPublisher ?productPublishDate  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?vendor ?price ?validFrom ?validTo ?deliveryDays ?offerWebpage ?publisher ?publishDate WHERE{	?offer bsbm:product ?product .	?offer bsbm:vendor ?vendor .	?offer bsbm:price ?price .	?offer gr:validFrom ?validFrom .	?offer bsbm:validTo ?validTo .	?offer bsbm:deliveryDays ?deliveryDays .	?offer npg:webpage ?offerWebpage .	?offer dc:publisher ?publisher .	?offer exp:publishDate ?publishDate .    ?offer rdf:type schema:Offer .  	?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product bsbm:productPropertyNumeric1 ?propertyNum1 .    ?product bsbm:productPropertyNumeric2 ?propertyNum2 .    ?product bsbm:productPropertyNumeric3 ?propertyNum3 .    ?product bsbm:productPropertyNumeric4 ?propertyNum4 .    ?product bsbm:productPropertyNumeric5 ?propertyNum5 .    ?product bsbm:productPropertyNumeric6 ?propertyNum6 .    ?product bsbm:productPropertyTextual1 ?propertyTex1 .    ?product bsbm:productPropertyTextual2 ?propertyTex2 .    ?product bsbm:productPropertyTextual3 ?propertyTex3 .    ?product bsbm:productPropertyTextual4 ?propertyTex4 .    ?product bsbm:productPropertyTextual5 ?propertyTex5 .    ?product bsbm:productPropertyTextual6 ?propertyTex6 .    ?product dc:publisher ?productPublisher .    ?product exp:publishDate ?productPublishDate .    ?review bsbm:reviewFor ?product .    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .  	?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?label ?comment ?homepage ?country ?producerPublisher ?producerPublishDate ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?vendor ?price ?validFrom ?validTo ?deliveryDays ?offerWebpage ?offerPublisher ?offerPublishDateWHERE{	?producer rdfs:label ?label .    ?producer rdfs:comment ?comment .    ?producer foaf:homepage ?homepage .    ?producer edm:country ?country .    ?producer bsbm:publisher ?producerPublisher .    ?producer exp:publishDate ?producerPublishDate .	?review  bsbm:producer ?producer .	?offer bsbm:producer ?producer .	?offer bsbm:vendor ?vendor .	?offer bsbm:price ?price .	?offer gr:validFrom ?validFrom .	?offer bsbm:validTo ?validTo .	?offer bsbm:deliveryDays ?deliveryDays .	?offer npg:webpage ?offerWebpage .	?offer dc:publisher ?offerPublisher .	?offer exp:publishDate ?offerPublishDate .	?offer rdf:type schema:Offer .  	?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .  	?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?reviewerName ?mbox_sha1sum ?reviewerCountry ?reviewerPublisher ?reviewerPublishDate ?label ?comment ?homepage ?country ?producerPublisher ?producerPublishDate WHERE{    ?producer rdfs:label ?label .   ?producer rdfs:comment ?comment .   ?producer foaf:homepage ?homepage .   ?producer edm:country ?country .   ?producer bsbm:publisher ?producerPublisher .   ?producer exp:publishDate ?producerPublishDate .   ?producer rdf:type bsbm:Producer .    ?review  bsbm:producer ?producer .    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .    ?review rev:reviewer ?reviewer .    ?reviewer edm:country ?reviewerCountry  .    ?reviewer dc:publisher ?reviewerPublisher .    ?reviewer foaf:mbox_sha1sum ?mbox_sha1sum .    ?reviewer exp:publishDate ?reviewerPublishDate .    ?reviewer foaf:name ?reviewerName .    ?reviewer a foaf:Person .    ?review rdf:type schema:Review .}",0
"SELECT  DISTINCT  ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?productPublisher ?productPublishDate  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?reviewerName ?mbox_sha1sum ?reviewerCountry ?reviewerPublisher ?reviewerPublishDateWHERE{    ?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product bsbm:productPropertyNumeric1 ?propertyNum1 .    ?product bsbm:productPropertyNumeric2 ?propertyNum2 .    ?product bsbm:productPropertyNumeric3 ?propertyNum3 .    ?product bsbm:productPropertyNumeric4 ?propertyNum4 .    ?product bsbm:productPropertyNumeric5 ?propertyNum5 .    ?product bsbm:productPropertyNumeric6 ?propertyNum6 .    ?product bsbm:productPropertyTextual1 ?propertyTex1 .    ?product bsbm:productPropertyTextual2 ?propertyTex2 .    ?product bsbm:productPropertyTextual3 ?propertyTex3 .    ?product bsbm:productPropertyTextual4 ?propertyTex4 .    ?product bsbm:productPropertyTextual5 ?propertyTex5 .    ?product bsbm:productPropertyTextual6 ?propertyTex6 .    ?product dc:publisher ?productPublisher .    ?product exp:publishDate ?productPublishDate .    ?review bsbm:reviewFor ?product .    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:text ?text .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .    ?review bsbm:rating2 ?rating2 .    ?review bsbm:rating3 ?rating3 .    ?review bsbm:rating4 ?rating4 .    ?review dc:publisher ?publisher .    ?review exp:publishDate ?publishDate .    ?review rev:reviewer ?reviewer .    ?reviewer edm:country ?reviewerCountry  .    ?reviewer dc:publisher ?reviewerPublisher .    ?reviewer foaf:mbox_sha1sum ?mbox_sha1sum .    ?reviewer exp:publishDate ?reviewerPublishDate .    ?reviewer foaf:name ?reviewerName .    ?reviewer a foaf:Person .    ?review rdf:type schema:Review .}",0
"SELECT  DISTINCT ?title ?reviewerName ?producerPublisher ?producerPublishDate WHERE{   ?producer bsbm:publisher ?producerPublisher .   ?producer exp:publishDate ?producerPublishDate .   ?producer rdf:type bsbm:Producer .    ?review  bsbm:producer ?producer .    ?review dc:title ?title .    ?review rev:reviewer ?reviewer .    ?reviewer foaf:name ?reviewerName .    ?reviewer a foaf:Person .    ?review rdf:type schema:Review .}",0
"SELECT  DISTINCT  ?label ?language ?rating1 ?price ?productPublisher ?offerPublisherWHERE{	?offer bsbm:product ?product .	?offer bsbm:price ?price .    ?offer dc:publisher ?offerPublisher .    ?offer rdf:type schema:Offer .  	?product rdfs:label ?label .    ?product dc:publisher ?productPublisher .    ?review bsbm:reviewFor ?product .    ?review dcterms:language ?language .    ?review bsbm:rating1 ?rating1 .  	?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?label ?rating3 ?offerPublishDate ?producerPublisher ?offerPublisherWHERE{	?producer rdfs:label ?label .	?producer dc:publisher ?producerPublisher .    ?review  bsbm:producer ?producer .	?offer bsbm:producer ?producer .	?offer exp:publishDate ?offerPublishDate .    ?offer dc:publisher ?offerPublisher .	?offer rdf:type schema:Offer .  	?review bsbm:rating3 ?rating3 .}",1
"SELECT  DISTINCT  ?label ?comment ?reviewDate ?title ?reviewerName ?productPublisherWHERE{    ?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product dc:publisher ?productPublisher .    ?review bsbm:reviewFor ?product .    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review rev:reviewer ?reviewer .    ?reviewer foaf:name ?reviewerName .    ?reviewer a foaf:Person .    ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT  ?producerLabel ?producerComment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?publisher ?publishDate ?label ?comment ?homepage ?country ?producerPublisher ?producerPublishDateWHERE{	?producer rdfs:label ?producerLabel .	?producer rdfs:comment ?producerComment .	?producer foaf:homepage ?homepage .	?producer edm:country ?country .	?producer bsbm:publisher ?producerPublisher .	?producer exp:publishDate ?producerPublishDate .	?product bsbm:producer ?producer .	?product rdfs:label ?label .	?product rdfs:comment ?comment .	?product bsbm:productPropertyNumeric1 ?propertyNum1 .	?product bsbm:productPropertyNumeric2 ?propertyNum2 .	?product bsbm:productPropertyNumeric3 ?propertyNum3 .	?product bsbm:productPropertyNumeric4 ?propertyNum4 .	?product bsbm:productPropertyNumeric5 ?propertyNum5 .	?product bsbm:productPropertyNumeric6 ?propertyNum6 .	?product bsbm:productPropertyTextual1 ?propertyTex1 .	?product bsbm:productPropertyTextual2 ?propertyTex2 .	?product bsbm:productPropertyTextual3 ?propertyTex3 .	?product bsbm:productPropertyTextual4 ?propertyTex4 .	?product bsbm:productPropertyTextual5 ?propertyTex5 .	?product bsbm:productPropertyTextual6 ?propertyTex6 .	?product dc:publisher ?publisher .	?product exp:publishDate ?publishDate .	?product rdf:type bsbm:Product .	FILTER (?propertyNum5 > 90) .    FILTER (?propertyNum1 > 1000) .    FILTER (?label = ""ahchoo"") .}",1
"SELECT  DISTINCT  ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6  ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?productPublisher ?productPublishDate  ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDate ?producerLabel ?producerComment  ?producerPublisher ?producerPublishDate ?homepage ?country ?reviewerName ?mbox_sha1sum ?reviewerCountry ?reviewerPublisher ?reviewerPublishDateWHERE{  ?producer rdfs:label ?producerLabel .  ?producer rdfs:comment ?producerComment .  ?producer foaf:homepage ?homepage .  ?producer edm:country ?country .  ?producer bsbm:publisher ?producerPublisher .  ?producer exp:publishDate ?producerPublishDate .  ?review  bsbm:producer ?producer .  ?product rdfs:label ?label .  ?product rdfs:comment ?comment .  ?product bsbm:productPropertyNumeric1 ?propertyNum1 .  ?product bsbm:productPropertyNumeric2 ?propertyNum2 .  ?product bsbm:productPropertyNumeric3 ?propertyNum3 .  ?product bsbm:productPropertyNumeric4 ?propertyNum4 .  ?product bsbm:productPropertyNumeric5 ?propertyNum5 .  ?product bsbm:productPropertyNumeric6 ?propertyNum6 .  ?product bsbm:productPropertyTextual1 ?propertyTex1 .  ?product bsbm:productPropertyTextual2 ?propertyTex2 .  ?product bsbm:productPropertyTextual3 ?propertyTex3 .  ?product bsbm:productPropertyTextual4 ?propertyTex4 .  ?product bsbm:productPropertyTextual5 ?propertyTex5 .  ?product bsbm:productPropertyTextual6 ?propertyTex6 .  ?product dc:publisher ?productPublisher .  ?product exp:publishDate ?productPublishDate .  ?review bsbm:reviewFor ?product .  ?review bsbm:reviewDate ?reviewDate .  ?review dc:title ?title .  ?review rev:text ?text .  ?review dcterms:language ?language .  ?review bsbm:rating1 ?rating1 .  ?review bsbm:rating2 ?rating2 .  ?review bsbm:rating3 ?rating3 .  ?review bsbm:rating4 ?rating4 .  ?review dc:publisher ?publisher .  ?review exp:publishDate ?publishDate .  ?review rev:reviewer ?reviewer .  ?reviewer edm:country ?reviewerCountry  .  ?reviewer dc:publisher ?reviewerPublisher .  ?reviewer foaf:mbox_sha1sum ?mbox_sha1sum .  ?reviewer exp:publishDate ?reviewerPublishDate .  ?reviewer foaf:name ?reviewerName .  ?reviewer a foaf:Person .  ?review rdf:type schema:Review .}",0
