id,product,producer,vendor,price,validFrom,validTo,deliveryDays,publisher,publishDate,offerWebpage
72,5181,19116,47036,6968.63,2017-09-27,1967-08-12,6,669,1999-01-06,website
73,42871,22108,2543,3789.59,1978-01-03,1944-08-01,7,520,1974-03-21,website
74,23695,36509,46064,7174.02,1952-09-25,2001-06-07,1,518,1981-07-14,website
75,12506,25429,33172,9232.64,1972-06-20,2004-11-12,7,728,1933-11-30,website
76,16801,36527,45589,9892.93,1988-11-09,1973-04-05,4,277,1918-07-29,website
77,12483,27759,15914,5144.42,1902-03-20,1914-02-01,4,905,1936-09-17,website
78,43442,36034,6296,1208.4,1986-11-27,1926-08-31,5,750,1969-03-26,website
79,1032,26163,7220,165.51,1967-06-16,1980-04-29,4,404,1923-01-11,website
80,2338,15062,46386,6354.65,1908-03-16,2015-08-13,7,229,2009-07-17,website
81,14600,15552,24760,1801.69,1973-11-03,1903-01-25,4,216,1970-05-30,website
82,48635,11065,29820,1884.03,1965-01-29,1986-12-20,3,862,2012-05-04,website
83,21522,38920,15792,1055.9,2004-12-08,1910-08-21,3,864,1943-11-08,website
84,8257,17417,47637,5831.7,1989-03-14,2006-08-02,1,439,1970-04-08,website
85,73,25692,13708,4548.81,1944-12-03,1973-03-01,1,109,2005-05-25,website
86,37890,13533,42061,1943.33,1940-05-03,1990-02-17,4,717,2002-09-11,website
87,11757,13038,28592,1632.63,2005-01-19,1943-10-14,1,744,1916-06-17,website
88,34720,12869,19787,6712.77,1968-11-21,1961-11-28,7,724,2002-10-08,website
89,22809,5899,9010,3788.34,2008-05-02,1962-05-31,2,776,2001-10-03,website
90,46052,26091,27789,1538.28,1952-07-05,1930-06-25,3,513,1902-07-10,website
91,36225,32131,29260,582.83,1959-09-16,1942-10-24,7,354,1966-05-11,website
92,39230,10216,1310,6040.05,2019-06-18,1943-02-09,4,844,1911-03-30,website
93,44977,799,4490,2266.17,1915-01-21,1949-01-16,1,453,1999-04-15,website
94,16896,2135,2615,9600.24,2014-02-11,1995-04-04,4,933,2000-04-15,website
95,28067,32905,2667,7084.71,1903-12-07,1960-03-06,3,446,1937-12-08,website
96,39639,48420,49920,4126.94,1939-09-28,2001-09-19,6,711,1959-11-26,website
97,12261,26172,9127,6742.54,1989-12-28,1936-10-30,7,499,1964-01-27,website
98,26858,16745,12273,4297.25,2003-04-15,1921-04-22,2,406,1904-09-03,website
99,16236,43572,45764,44.09,1920-01-12,2012-08-09,6,62,1926-05-21,website
100,15148,40434,21258,2591.12,1921-08-25,1979-11-17,2,613,2006-05-24,website
101,49650,24978,25329,9968.2,1953-03-26,1941-03-05,1,131,1954-02-13,website
102,49220,48460,46681,1636.93,2018-02-27,1998-03-24,3,648,1957-07-10,website
103,42980,12644,9396,915.25,1981-07-29,1906-02-08,4,819,1933-06-06,website
104,5793,21522,32202,8484.67,1944-05-18,1993-10-20,4,134,1932-04-05,website
105,43543,35823,10096,1193.11,1949-03-09,1967-05-17,3,945,2006-06-15,website
106,35945,21644,42510,880.92,1976-06-09,1991-02-12,4,523,1928-03-07,website
107,27439,23689,44622,4531.36,1956-05-05,1943-02-27,6,82,1954-07-31,website
108,12384,28918,31276,2431.43,1917-05-20,1934-11-13,6,418,1917-02-03,website
109,29082,48956,1797,22.43,1965-03-22,1956-10-24,5,846,1930-12-09,website
110,17523,32830,32846,4444.79,1989-05-21,1937-12-05,7,139,1910-01-01,website
111,42417,39922,26746,4562.09,1946-06-10,2011-04-11,6,425,1981-07-21,website
112,21668,44427,46544,5629.06,1952-01-17,1955-08-15,5,520,1937-03-26,website
113,41283,16249,30946,4489.93,1911-08-07,1923-07-02,1,494,1952-07-08,website
114,46414,46026,30429,5087.31,1913-05-09,1983-08-05,2,995,1984-07-17,website
115,26034,48130,43700,4652.2,2008-09-01,2010-03-10,2,748,1920-07-03,website
116,18355,26950,11362,3129.28,1954-03-20,1978-07-20,3,131,1990-06-06,website
117,19936,45901,34734,2982.69,2013-10-16,1984-07-06,5,342,1904-12-07,website
118,9088,19089,43183,4468.19,1959-07-03,1941-07-03,2,111,1964-10-26,website
119,27663,20035,7930,6036.31,1971-02-01,1962-10-04,2,109,1927-07-10,website
120,2260,3188,16731,8152.24,1937-08-15,1990-04-22,7,201,1942-05-05,website
121,43899,9693,33762,8658.6,2018-06-02,1984-07-01,1,271,1973-11-19,website
122,38725,13048,42546,9103.21,1931-04-04,1913-06-16,6,452,1995-07-18,website
123,44233,6422,18916,8313.6,1902-08-29,1939-09-22,3,110,1981-12-03,website
124,36168,1374,44420,2517.52,1995-07-26,1963-06-05,6,365,1933-02-23,website
125,18982,44261,48720,5771.33,1913-05-20,1955-10-21,6,514,1900-10-09,website
126,17628,33828,45727,3077.94,1994-10-25,1973-04-20,5,570,1954-06-03,website
127,9436,2872,1617,7434.63,1994-08-18,1977-04-08,4,674,1909-03-09,website
128,46310,8581,46111,9058.61,1968-01-28,1945-03-11,6,277,1970-12-20,website
129,29237,48164,14253,8207.14,1904-12-01,1945-04-06,4,405,1948-11-23,website
130,6885,12488,13791,9384.61,1904-05-13,1934-12-21,6,139,1966-07-16,website
131,32406,39871,34391,9123.93,1989-09-03,1939-10-20,4,373,1990-01-11,website
132,2196,30586,26145,4439.09,1966-09-06,1927-01-09,5,746,1935-03-26,website
133,38356,1312,43890,8212.07,1913-11-01,1917-01-29,4,777,1930-01-09,website
134,4123,49848,37319,8603.32,1953-01-31,2007-09-20,3,39,1984-08-11,website
135,24069,665,30551,7497.51,1974-07-14,2009-10-18,4,218,1918-06-20,website
136,16986,6101,28021,5271.94,1946-02-22,1962-09-15,7,108,2009-01-23,website
137,6104,11325,21202,6829.3,1917-08-03,1901-05-11,4,931,2003-03-01,website
138,48260,5777,20649,3708.93,1922-10-17,2016-07-05,5,846,1924-12-21,website
139,18014,3453,22752,1931.21,1923-11-06,2012-04-25,4,560,1992-02-08,website
140,22860,32613,36700,9786.05,1916-10-19,1984-01-06,3,623,1958-12-02,website
141,32403,36531,11164,3922.77,2009-12-19,1960-08-16,3,697,1961-02-04,website
142,40523,22768,6136,1356.31,2002-07-27,1919-08-03,1,774,1914-01-03,website
143,47575,25637,43971,8772.63,1943-12-24,1908-12-01,3,694,1999-04-26,website
144,25709,10105,28932,3505.65,1988-08-27,2016-09-21,1,757,1998-10-10,website
145,35799,42153,21707,1580.17,1984-11-02,1999-07-16,6,986,1914-05-18,website
146,31494,24978,34262,7355.95,1927-10-02,2014-04-11,1,198,1912-02-04,website
147,23814,39388,49862,332.4,1993-10-08,1958-02-09,3,596,1900-06-18,website
148,45245,35697,41862,2397.32,2017-11-20,2006-08-04,2,26,2018-02-28,website
149,8186,45685,8073,987.23,2014-02-16,2015-09-30,2,370,2017-09-11,website
150,567,14889,28946,4069.66,1967-07-20,2019-02-23,7,807,2013-08-10,website
151,10407,8847,46177,4610.93,1920-09-11,2009-02-22,5,824,1949-06-01,website
152,4376,37113,11012,4113.46,2008-02-19,1992-01-05,1,121,1934-01-18,website
153,1771,5349,45644,7732.02,1926-06-24,1983-11-17,3,876,1993-01-06,website
154,11449,27421,25929,5750.54,1986-10-10,1961-11-15,5,501,1984-10-29,website
155,14024,17681,42938,7674.24,1922-01-30,1962-07-21,4,349,1921-04-08,website
156,42213,45227,25137,7730.05,2018-02-10,1977-09-10,7,284,1974-09-16,website
157,2825,8679,22349,3433.38,1922-04-20,2008-08-06,6,1000,2007-03-07,website
158,38346,38326,9296,9256.34,1932-10-23,1995-04-26,7,326,1924-01-08,website
159,10624,41321,41814,9727.32,1976-03-20,1924-03-19,6,544,1968-02-11,website
160,23828,8761,32842,6707.78,1900-02-03,1965-05-25,7,947,2006-02-20,website
161,15594,44248,471,9781.36,1956-11-24,2002-06-26,2,470,1912-05-06,website
162,44142,14187,34799,4066.57,2004-10-15,1976-11-12,5,119,1926-09-09,website
163,37138,26318,2384,9777.71,1993-09-13,1922-03-15,3,210,1969-07-10,website
164,9457,11949,4241,7836.67,1980-11-17,1904-05-17,2,707,1947-08-16,website
165,19893,37039,22876,5022.63,1912-11-28,1911-09-21,3,103,1926-10-29,website
166,46185,49540,20422,5431.72,1959-02-12,1996-12-22,2,765,1903-04-28,website
167,14325,35368,5877,1020.22,1982-07-08,1910-09-08,6,45,1918-12-14,website
168,18110,49809,43832,3797.44,1903-04-14,1934-12-07,7,185,1907-09-02,website
169,41124,39505,8811,3546.01,1997-12-17,1929-10-14,5,281,1945-03-31,website
170,27025,24867,22031,7772.81,2013-08-07,2013-12-03,4,868,1962-07-29,website
171,43869,33966,39950,4220.35,1974-05-11,1912-01-27,1,306,1927-05-01,website
172,44768,5663,26550,752.71,1979-05-31,1934-02-06,4,18,1959-10-09,website
173,40587,37761,19771,1614.4,1946-08-22,1923-03-26,1,536,1993-02-22,website
174,46557,6389,40624,5579.44,2008-06-24,2006-02-19,7,311,1930-03-21,website
175,7390,26807,41147,3276.79,1975-02-22,2016-01-20,7,304,1986-08-18,website
176,7406,33334,21545,8740.97,1957-09-20,1978-08-26,3,955,2009-03-18,website
177,34103,21899,11757,3622.8,2016-02-09,2007-06-09,4,761,1970-02-20,website
178,24218,35184,49992,1872.4,1963-09-11,2002-01-15,2,774,1977-03-13,website
179,24728,25097,4975,4857.16,1983-01-02,1950-05-17,3,919,2019-06-21,website
180,46020,33363,27391,2598.79,1949-05-14,1990-06-05,4,281,2005-04-06,website
181,19739,6662,30871,5376.04,1956-04-18,1957-12-20,1,810,2000-01-12,website
182,35378,22169,24900,5047.22,1907-08-18,2011-10-24,3,122,1946-10-25,website
183,22130,4103,6100,9199.82,2019-08-22,1991-03-31,7,131,2019-10-21,website
184,33928,29744,2986,5516.29,2013-06-14,1984-12-20,6,464,1958-09-03,website
185,1056,4043,46926,5091.03,1903-09-29,1908-04-10,5,119,1950-10-13,website
186,29060,39528,39306,8166.86,1929-10-24,2003-07-29,1,464,1920-02-11,website
187,31999,43069,8596,9107.51,1918-07-28,2000-07-31,7,154,1909-09-09,website
188,40305,4619,14511,5459.71,1934-06-28,1949-02-13,3,479,1900-04-08,website
189,28217,31183,27806,170.41,2002-09-17,1902-07-03,7,160,1925-03-20,website
190,574,3335,47552,1923.32,1964-07-30,1995-06-19,3,288,1976-08-14,website
191,42704,44430,22936,7758.01,1958-11-04,1928-09-08,6,265,1946-03-27,website
192,7448,36963,21663,5726.8,1975-08-30,1963-11-03,3,917,1923-09-27,website
193,31071,32026,43642,9976.94,1988-03-11,1938-10-05,7,202,1974-09-05,website
194,15929,31835,19216,5240.75,1989-01-23,1909-04-14,4,760,1977-02-03,website
195,25274,8490,24246,6266.73,1994-09-17,1947-10-10,3,471,1903-09-29,website
196,20756,6963,25768,6437.99,1962-04-11,1901-07-09,5,472,2001-08-15,website
197,35363,35301,27982,9923.23,1963-12-16,1963-12-14,3,597,1948-08-25,website
198,38264,22568,1003,5203.13,1950-10-20,1942-06-15,3,443,1944-05-26,website
199,27647,24507,38170,2904.06,1975-01-22,2015-11-07,4,375,1991-06-16,website
200,21219,7426,22869,8253.64,1982-09-20,2006-07-26,7,561,2019-09-12,website
201,3175,3715,34450,5860.69,1920-09-04,1906-08-13,4,372,1990-08-28,website
202,4244,13684,27915,698.27,2012-03-09,1970-12-29,2,803,1914-04-19,website
203,26543,41846,10663,2387.84,1954-04-05,1949-01-13,3,406,1978-06-28,website
204,48770,680,4644,4808.42,1954-03-14,1971-05-12,1,237,1959-01-07,website
205,13671,25076,44807,4496.59,2003-02-20,2007-01-13,1,500,1967-05-12,website
206,15534,20241,49953,791.71,1954-07-18,1936-03-09,6,476,1957-04-17,website
207,19834,31144,23883,1672.43,1973-05-20,1939-08-22,4,393,1970-10-08,website
208,36059,6195,4625,6791.3,1949-09-29,2007-07-02,5,505,1954-09-17,website
209,21915,15773,38906,1199.98,1957-07-23,1954-11-05,7,592,1912-03-29,website
210,26224,16695,17383,695.21,1992-03-13,2003-10-01,6,494,1929-08-26,website
211,43998,31308,13298,3577.69,2008-02-01,1916-11-25,4,413,1977-07-05,website
212,40539,48722,46603,938.99,1971-12-10,1956-04-22,6,934,1947-07-28,website
213,24267,4286,40609,9059,1919-01-26,1961-11-09,7,773,1923-12-19,website
214,6025,18052,47589,2330.31,1920-02-26,1949-04-17,3,226,1946-11-25,website
215,15840,26833,21404,6995.6,2000-09-11,1979-01-01,7,694,1914-07-19,website
216,46932,37978,7901,4214.12,1940-12-31,1962-09-16,1,957,1931-07-28,website
217,6391,28261,3915,8278.07,1989-04-08,1965-03-28,4,854,1997-01-21,website
218,13037,26199,8745,7010.59,2008-04-29,1965-04-16,6,430,1922-10-03,website
219,30922,16670,41856,9999.38,1938-05-13,1963-11-25,7,778,1924-02-21,website
220,21574,21068,13656,4912.13,1904-12-14,1950-12-06,2,519,1948-10-11,website
221,36252,34939,38376,6814.37,1990-01-23,1950-01-09,1,923,1983-06-22,website
222,8237,17072,14721,9039.08,1970-01-04,1938-05-11,6,328,1933-05-12,website
223,42030,25938,5372,450.91,1965-07-14,2006-09-17,2,852,1905-12-07,website
224,3185,44897,40523,8126.4,1902-09-11,1921-02-24,5,945,1984-03-05,website
225,35505,43952,44315,9055.21,1974-11-12,1980-11-10,6,431,1924-04-30,website
226,29447,8676,1622,6459.46,1941-07-03,1967-07-25,3,548,1977-11-03,website
227,15875,4751,1334,652.48,1957-07-19,1903-01-25,4,966,2015-09-09,website
228,48118,36724,36978,7640.44,1968-05-13,2006-02-15,4,605,1939-07-18,website
229,17261,48157,1223,9062.97,1990-04-04,1907-10-27,7,549,1970-06-09,website
230,723,29865,41774,8660.17,1970-11-01,1981-01-05,1,888,1952-03-13,website
231,7335,5994,17516,4506.43,1965-03-06,1988-01-16,4,470,1953-07-30,website
232,27817,1475,42312,3878.43,2019-09-20,1998-02-19,3,397,1988-05-08,website
233,31268,27269,42468,8959.05,1935-01-07,1921-07-28,3,967,2009-08-24,website
234,21648,39876,29352,5254.14,1904-10-19,1917-10-05,1,13,1997-03-18,website
235,23170,37510,13284,1559.41,1906-02-25,1982-04-17,1,229,1972-05-03,website
236,22006,49122,6322,9067.52,1934-08-28,1936-07-21,2,791,1925-01-26,website
237,47202,5785,32487,1004.97,1987-08-01,1949-08-03,3,484,1914-07-21,website
238,36700,31200,13074,9245.3,1964-06-08,1979-02-01,4,618,1996-07-26,website
239,40019,2583,18799,8959.31,1959-07-18,1964-07-03,3,975,1908-05-16,website
240,40390,26020,4397,8775.04,1976-04-03,1967-12-29,3,407,1961-05-18,website
241,19613,31464,27452,3876.87,1922-05-26,1906-11-16,4,63,1922-01-27,website
242,3765,45916,39878,1121.27,1936-06-21,1941-12-10,7,65,1999-11-05,website
243,11274,23390,43344,4633.16,2008-08-14,1983-08-19,1,809,1969-04-24,website
244,7680,32846,4066,8317.99,1909-05-28,1902-12-07,1,887,2016-05-15,website
245,34298,23700,13696,5468.4,1940-07-07,1971-06-27,3,863,1900-02-21,website
246,15506,42931,29220,4984.34,2019-05-18,1928-04-14,6,414,1951-04-06,website
247,36735,11594,46905,6098.81,1925-07-04,1922-01-12,3,754,1940-07-23,website
248,21575,40522,15828,3995.48,1922-12-29,1929-01-16,1,470,1920-01-04,website
249,36628,17727,46762,6523.92,1933-07-24,1910-03-07,1,778,1909-02-18,website
250,13765,21245,20988,898.47,1911-02-06,1961-01-25,6,703,1988-10-01,website
251,40836,27327,37289,818.55,1916-06-30,1985-07-20,3,556,1912-08-28,website
252,19550,16983,8133,428.8,1914-08-07,1936-03-08,6,485,2018-06-25,website
253,21773,35072,35008,6573.21,1941-07-26,1993-02-10,6,890,2000-09-25,website
254,47182,25302,12262,2338.07,1904-05-29,1939-12-22,1,682,1991-04-20,website
255,3915,17405,2858,7215.96,2009-03-17,1913-05-20,7,186,1962-01-29,website
256,10765,39631,23521,4863,1940-08-17,1983-05-03,3,691,2008-06-04,website
257,24594,10889,14265,7834.07,1965-02-10,1921-04-21,2,206,1990-05-02,website
258,26651,46478,1828,585.84,1931-08-20,1987-07-27,6,94,1984-05-22,website
259,5191,16953,14332,3404.29,1927-03-05,1943-05-17,3,420,1954-06-24,website
260,47541,36021,14646,1243.4,1950-04-12,1973-12-15,3,832,1936-12-14,website
261,6679,34831,40869,2670.41,1983-01-22,1978-07-23,4,632,2010-01-26,website
262,14685,30453,5151,9374,1948-11-13,1981-12-29,5,55,1982-01-25,website
263,15305,15622,46718,8155.57,1948-04-22,1949-07-13,5,499,1942-11-18,website
264,18700,14249,38647,86.01,1974-04-21,1917-04-05,3,585,1981-08-11,website
265,30409,2532,20211,8618.99,1954-03-10,1919-09-14,5,392,1987-10-19,website
266,728,5383,41368,7625.61,1986-02-12,1925-09-15,7,614,1952-09-10,website
267,32241,18028,47557,3481.83,1915-04-18,1977-03-24,1,509,2015-06-06,website
268,35926,20576,7089,6894.37,1953-05-13,1925-04-15,5,54,1959-03-30,website
269,11211,24298,2505,2281.89,1976-10-25,2001-06-12,5,612,1948-02-29,website
270,47998,19293,17275,2226.39,1938-04-07,1991-12-17,6,589,1960-10-02,website
271,18559,39301,15308,8484.36,1932-07-12,1909-06-25,3,404,2010-05-28,website
272,32095,32876,47030,2085.31,2011-01-19,1915-10-11,6,3,2011-08-20,website
273,19365,10030,1113,2294.43,1980-03-04,1911-05-17,3,289,1925-01-05,website
274,42965,23603,9119,5214.5,1911-01-30,2017-03-08,3,614,1953-02-04,website
275,29169,13313,21384,9480.86,1999-04-28,1977-04-08,1,911,1959-07-22,website
276,44477,10088,9915,7953.55,1907-01-17,1957-02-28,5,19,2003-01-12,website
277,44998,32596,1456,4122.05,1975-05-07,1939-04-23,5,114,1959-02-06,website
278,33950,1600,25485,8688.22,1963-04-27,1954-06-18,3,426,2004-07-22,website
279,40445,10754,38366,9662.4,1955-12-13,1956-05-20,7,928,2009-06-19,website
280,33861,2688,31414,2980.5,1936-09-26,1926-03-06,4,389,1901-09-25,website
281,49422,41579,13883,6444.02,1946-02-17,1912-03-05,2,234,1915-06-11,website
282,6634,48842,41806,1483.31,1945-03-20,1906-03-18,2,128,1906-01-05,website
283,25692,452,15320,2528.19,1915-04-23,1994-07-20,2,569,1910-03-14,website
284,26359,29409,38992,9641.26,2007-11-12,1958-05-22,5,967,1984-02-16,website
285,4129,17032,12926,9907.67,1946-08-07,1913-11-05,2,461,1922-09-10,website
286,45467,431,45919,7368.99,1994-04-28,2019-07-04,7,117,1918-10-24,website
287,5872,27456,12273,8521.69,2017-06-09,1921-04-11,7,569,1940-02-07,website
288,46912,46430,45179,2267.15,1921-07-15,1965-03-16,7,628,1980-04-04,website
289,32406,129,21447,6720.01,1973-05-13,1930-01-29,3,725,1909-03-02,website
290,37620,27553,45386,365.29,1973-07-30,1927-01-28,3,372,1973-01-16,website
291,49470,43738,10114,1242.59,2007-06-10,1981-10-18,2,830,1925-10-29,website
292,12101,28952,14317,7535.34,1925-06-09,1950-11-01,5,888,2017-01-10,website
293,7574,27510,20862,8977.52,1970-12-16,1914-12-09,4,235,1935-12-13,website
294,13122,34681,38523,8178.44,1942-10-04,2014-02-24,4,320,1910-11-08,website
295,105,36818,3916,4074.16,1998-12-10,1991-06-27,1,502,1932-09-16,website
296,15671,8236,19755,1681.04,1973-06-15,1955-09-12,2,658,1906-05-04,website
297,44905,43650,11935,1565.47,1931-04-13,1919-04-30,2,147,2003-03-28,website
298,20854,13863,20447,1339.16,2006-04-09,2015-12-18,1,75,1996-08-19,website
299,15992,44693,6097,9209.5,1987-08-29,2019-08-02,1,404,1976-02-11,website
300,1309,10225,34132,2202.17,1912-12-13,1969-06-03,1,32,1920-07-15,website
301,31390,16778,18582,9955.26,1911-04-06,2008-06-02,7,228,1939-04-07,website
302,28087,23960,23389,6004.56,2017-07-01,1901-08-10,5,902,2011-11-21,website
303,21675,2021,10942,791.93,1981-01-03,2011-06-28,6,131,1976-10-17,website
304,11531,33172,40265,5477.02,2007-11-06,1957-11-16,4,479,1951-12-25,website
305,28248,8645,33902,6447.36,2007-03-27,1961-04-12,6,3,1994-09-02,website
306,39387,27073,11991,9364.99,2018-09-11,2009-02-13,2,275,1987-01-17,website
307,27173,7949,40085,989.42,1955-04-09,1909-11-12,6,215,1945-05-26,website
308,10138,19883,32911,1116.77,1963-03-25,1953-09-29,4,571,1972-01-23,website
309,31382,25943,8210,971.39,1953-02-08,1954-05-08,6,711,1958-05-05,website
310,13150,24656,24696,500.89,1984-08-16,2014-10-07,5,189,1901-11-03,website
311,39316,24309,45041,1352.62,2003-01-07,1956-03-31,7,121,1981-07-17,website
312,16636,35860,17709,6668.2,1962-05-17,1964-08-10,3,263,1923-03-22,website
313,7834,32983,33408,1247.25,1970-04-17,1992-03-31,5,124,1900-10-16,website
314,2196,4225,45637,587.81,1956-01-29,1995-11-10,6,771,2002-12-07,website
315,4387,43513,45604,5253.8,1902-06-07,2019-06-22,1,855,1954-06-09,website
316,28055,5505,42590,4072.45,1900-04-14,1970-03-15,7,170,1934-03-25,website
317,46528,42767,22147,523.89,1902-12-01,2013-03-13,3,796,1948-04-29,website
318,37025,47031,2628,2332.32,1965-02-10,1942-11-03,2,560,1954-04-04,website
319,33506,12241,18144,3077.14,1965-01-07,1909-07-05,6,492,1992-02-21,website
320,35732,34651,22129,7062.84,1901-12-09,1964-03-31,2,288,1931-06-06,website
321,21559,4374,46619,5502.87,2019-10-05,1962-06-19,1,554,1907-08-12,website
322,5559,33704,16808,5900.44,1926-01-27,2001-07-22,5,672,2003-07-18,website
323,30873,32454,5391,7867.92,1939-11-22,1911-02-20,3,959,1994-05-26,website
324,36183,31619,34805,2649.07,1921-04-24,1905-12-03,5,102,1984-10-25,website
